prov,area,people,land,sig_cd
서울,종로구,138336,23.91,11110
서울,중구,120544,9.96,11140
서울,용산구,203854,21.87,11170
서울,성동구,273669,16.82,11200
서울,광진구,331963,17.06,11215
서울,동대문구,338735,14.22,11230
서울,중랑구,379274,18.5,11260
서울,성북구,421560,24.58,11290
서울,강북구,283597,23.6,11305
서울,도봉구,303228,20.65,11320
서울,노원구,491247,35.44,11350
서울,은평구,460919,29.71,11380
서울,서대문구,302853,17.63,11410
서울,마포구,361417,23.85,11440
서울,양천구,430976,17.41,11470
서울,강서구,556171,41.45,11500
서울,구로구,388169,20.12,11530
서울,금천구,225159,13.02,11545
서울,영등포구,373773,24.55,11560
서울,동작구,375799,16.36,11590
서울,관악구,477812,29.57,11620
서울,서초구,408376,46.97,11650
서울,강남구,557345,39.5,11680
서울,송파구,650110,33.88,11710
서울,강동구,476942,24.59,11740
부산,중구,37537,3.01,26110
부산,서구,103188,13.97,26140
부산,동구,85911,10.12,26170
부산,영도구,103737,14.2,
부산,부산진구,359281,29.67,26230
부산,동래구,274370,16.63,26260
부산,남구,254498,26.82,26290
부산,북구,267692,39.37,26320
부산,해운대구,376404,51.52,26350
부산,사하구,292491,41.79,26380
부산,금정구,209932,65.28,26410
부산,강서구,142789,182.16,26440
부산,연제구,212589,12.11,26470
부산,수영구,171918,10.22,26500
부산,사상구,198635,36.11,26530
부산,기장군,175626,218.34,26710
대구,중구,97711,7.06,27110
대구,동구,342339,182.11,27140
대구,서구,163135,17.32,27170
대구,남구,136263,17.43,27200
대구,북구,413010,93.95,27230
대구,수성구,409107,76.54,27260
대구,달서구,522021,62.37,27290
대구,달성군,257580,428.36,27710
대구,군위군,22463,614.34,47720
인천,중구,167113,140.38,28110
인천,동구,58296,7.25,28140
인천,미추홀구,412274,24.84,28177
인천,연수구,400213,56.19,28185
인천,남동구,486225,57.45,28200
인천,부평구,493200,32.01,28237
인천,계양구,280227,45.57,28245
인천,서구,634064,119.06,28260
인천,강화군,69402,411.41,28710
인천,옹진군,19996,172.95,28720
광주,동구,106203,49.32,29110
광주,서구,279050,47.74,29140
광주,남구,207597,60.96,29155
광주,북구,423961,120.26,29170
광주,광산구,391611,222.69,29200
대전,동구,218513,136.69,30110
대전,중구,225008,62.19,30140
대전,서구,457951,95.54,30170
대전,유성구,369468,176.61,30200
대전,대덕구,168217,68.74,30230
울산,중구,207000,37,31110
울산,남구,304885,74.02,31140
울산,동구,150836,36.08,31170
울산,북구,216522,157.35,31200
울산,울주군,218806,758.38,31710
세종,세종시,390685,464.96,36110
경기,수원시장안구,274661,33.34,41111
경기,수원시권선구,362642,47.18,41113
경기,수원시팔달구,194397,12.87,41115
경기,수원시영통구,361305,27.71,41117
경기,성남시수정구,234877,45.45,41131
경기,성남시중원구,206978,26.42,41133
경기,성남시분당구,471154,69.76,41135
경기,의정부시,461271,81.55,41150
경기,안양시만안구,229971,36.56,41171
경기,안양시동안구,326521,21.94,41173
경기,부천시원미구,389983,20.6,41190
경기,부천시소사구,227911,12.83,
경기,부천시오정구,152024,20.05,
경기,광명시,278167,38.52,41210
경기,평택시,598556,458.45,41220
경기,동두천시,86838,95.67,41250
경기,안산시상록구,327191,57.99,41271
경기,안산시단원구,293388,98.47,41273
경기,고양시덕양구,493097,165.6,41281
경기,고양시일산동구,294123,59.96,41285
경기,고양시일산서구,282900,42.56,41287
경기,과천시,85512,35.87,41290
경기,구리시,186882,33.34,41310
경기,남양주시,732482,458.13,41360
경기,오산시,242065,42.69,41370
경기,시흥시,518132,139.94,41390
경기,군포시,255931,36.42,41410
경기,의왕시,154488,54.03,41430
경기,하남시,329120,92.99,41450
경기,용인시처인구,274162,467.51,41461
경기,용인시기흥구,436351,81.64,41463
경기,용인시수지구,375351,42.11,41465
경기,파주시,511308,673.96,41480
경기,이천시,222443,461.47,41500
경기,안성시,193949,553.51,41550
경기,김포시,486853,276.6,41570
경기,화성시,968821,700.64,41590
경기,광주시,397605,430.99,41610
경기,양주시,289005,310.49,41630
경기,포천시,141463,827.17,41650
경기,여주시,114610,608.21,41670
경기,연천군,40866,677.94,41800
경기,가평군,62527,842.82,41820
경기,양평군,126804,877.82,41830
강원,춘천시,286069,1116.42,42110
강원,원주시,362164,868.29,42130
강원,강릉시,207731,1040.83,42150
강원,동해시,87675,180.31,42170
강원,태백시,37936,303.44,42190
강원,속초시,80933,105.75,42210
강원,삼척시,61735,1187.84,42230
강원,홍천군,66717,1820.57,42720
강원,횡성군,46111,998,42730
강원,영월군,36721,1127.41,42750
강원,평창군,40396,1464.26,42760
강원,정선군,33515,1219.78,42770
강원,철원군,40497,890.13,42780
강원,화천군,22922,909.1,42790
강원,양구군,20621,661.99,42800
강원,인제군,31535,1646.2,42810
강원,고성군,26999,660.77,42820
강원,양양군,27489,629.78,42830
충북,청주시상당구,197952,404.26,43111
충북,청주시서원구,181621,122.67,43112
충북,청주시흥덕구,285838,199.11,43113
충북,청주시청원구,189126,215.01,43114
충북,충주시,207241,983.26,43130
충북,제천시,128569,882.77,43150
충북,보은군,30527,584.26,43720
충북,옥천군,48204,537.28,43730
충북,영동군,43551,846.91,43740
충북,증평군,37171,81.8,43745
충북,진천군,86537,407.38,43750
충북,괴산군,36252,842.01,43760
충북,음성군,91236,520.12,43770
충북,단양군,27352,780.15,43800
충남,천안시동남구,261172,438.39,44131
충남,천안시서북구,398748,197.76,44133
충남,공주시,101285,864.16,44150
충남,보령시,93780,586.86,44180
충남,아산시,355014,542.8,44200
충남,서산시,174445,742.28,44210
충남,논산시,108529,556.26,44230
충남,계룡시,46540,60.69,44250
충남,당진시,171931,705.62,44270
충남,금산군,49615,577.21,44710
충남,부여군,59550,624.65,44760
충남,서천군,48204,366.12,44770
충남,청양군,29658,479.25,44790
충남,홍성군,99198,446.69,44800
충남,예산군,78772,542.72,44810
충남,태안군,60133,516.05,44825
전북,전주시완산구,321910,92.49,45111
전북,전주시덕진구,313741,113.52,45113
