store,addr,prov,area,div
강남 2호점,서울 강남구 테헤란로 107 메디타워2층,서울,강남구,서울 강남구
대구태전 DT,대구 북구 칠곡중앙대로 303,대구,북구,대구 북구
김천평화DT점,경북 김천시 자산로 199,경북,김천시,경북 김천시
대전카이스트DT점,대전 유성구 대덕대로 535,대전,유성구,대전 유성구
미아역,서울 강북구 도봉로 204 미아역 맥도날드,서울,강북구,서울 강북구
의정부만가대 DT점,경기 의정부시 민락로 11,경기,의정부시,경기 의정부시
동성로교보,대구 중구 국채보상로 586 (동성로2가),대구,중구,대구 중구
순천덕암DT점,전남 순천시 구암원길 1 (덕암동),전남,순천시,전남 순천시
병점DT점,경기 화성시 경기대로 1004 (병점동),경기,화성시,경기 화성시
울산옥동 DT,울산 남구 문수로423번길 2,울산,남구,울산 남구
마리오 아울렛,서울 금천구 디지털로 185 마리오아울렛1,서울,금천구,서울 금천구
등촌 DT,서울 강서구 양천로 546,서울,강서구,서울 강서구
청주비하 DT,충북 청주시 흥덕구 2순환로 1076,충북,청주시 흥덕구,충북 청주시 흥덕구
목원대점,대전 유성구 도안북로 81 (용계동),대전,유성구,대전 유성구
부산기장 DT,부산 기장군 기장읍 기장대로 500,부산,기장군,부산 기장군
잠실역,서울 송파구 송파대로 558,서울,송파구,서울 송파구
부산황령DT점,부산 남구 황령대로 374 (대연동),부산,남구,부산 남구
성균관대,서울 종로구 창경궁로 241-1,서울,종로구,서울 종로구
동판교,경기 성남시 분당구 대왕판교로606번길 58,경기,성남시 분당구,경기 성남시 분당구
청주봉명 DT,충북 청주시 흥덕구 1순환로 518,충북,청주시 흥덕구,충북 청주시 흥덕구
구미도량 DT,경북 구미시 야은로 447,경북,구미시,경북 구미시
오산세교DT점,경기 오산시 경기대로 651,경기,오산시,경기 오산시
석촌역,서울 송파구 백제고분로 390,서울,송파구,서울 송파구
문학DT점,인천 미추홀구 매소홀로 600 (문학동),인천,미추홀구,인천 미추홀구
천안원성 DT,충남 천안시 동남구 천안대로 699,충남,천안시 동남구,충남 천안시 동남구
대구 수성DT,대구 수성구 달구벌대로 2345,대구,수성구,대구 수성구
전주인후DT점,전북 전주시 덕진구 백제대로 692 (인후동2가),전북,전주시 덕진구,전북 전주시 덕진구
통영죽림DT,경남 통영시 광도면 죽림4로 36,경남,통영시,경남 통영시
창원역DT점,경남 창원시 의창구 의창대로 50 (팔용동),경남,창원시 의창구,경남 창원시 의창구
평내 DT,경기 남양주시 경춘로 1273,경기,남양주시,경기 남양주시
서울교대점,서울 서초구 서초대로 316(서초동),서울,서초구,서울 서초구
부산송정DT,부산 해운대구 해운대로 1114,부산,해운대구,부산 해운대구
양평SK DT,서울 영등포구 선유로 195,서울,영등포구,서울 영등포구
대구만촌DT점,대구 수성구 달구벌대로 2634 (만촌동),대구,수성구,대구 수성구
제주서귀포DT,제주특별자치도 서귀포시 일주동로 8665 (서귀동),제주,서귀포시,제주 서귀포시
대구황금DT점,대구 수성구 청수로 157 (황금동),대구,수성구,대구 수성구
마장휴게소점,경기 이천시 마장면 중부고속도로 82,경기,이천시,경기 이천시
부산온천 SK DT,부산 동래구 충렬대로 121,부산,동래구,부산 동래구
진접DT,경기 남양주시 진접읍 금강로 1467,경기,남양주시,경기 남양주시
